muscle_name,F0_max,optimal_fiber_length,tendon_slack_length,pennation_angle,PCSA
iliacus,1000,0.10,0.09,0.13,45.0
glut_max,1500,0.14,0.13,0.09,65.0
glut_med,800,0.09,0.08,0.15,35.0
add_long,600,0.11,0.10,0.10,28.0
biceps_fem_lh,900,0.11,0.34,0.00,32.0
biceps_fem_sh,600,0.10,0.10,0.40,25.0
semitend,900,0.20,0.26,0.09,33.0
semimem,1100,0.08,0.35,0.26,40.0
rectus_fem,1200,0.08,0.35,0.09,42.0
vast_lat,2000,0.08,0.16,0.09,70.0
vast_med,1800,0.09,0.13,0.09,65.0
vast_int,1900,0.09,0.14,0.06,68.0
gastroc_med,1600,0.05,0.41,0.30,58.0
gastroc_lat,1400,0.06,0.39,0.15,52.0
soleus,4000,0.03,0.27,0.44,140.0
tib_ant,1200,0.10,0.22,0.09,42.0
tib_post,1400,0.03,0.31,0.21,48.0
peron_brev,500,0.05,0.16,0.09,18.0
